title,genre,description,review
베테랑,액션 범죄,"재벌 3세의 비리를 파헤치는 형사의 통쾌한 활약을 그린 범죄 액션 영화.","시원한 액션과 유쾌한 대사가 스트레스를 풀어준다는 평, 악역의 존재감이 강렬하다는 반응."
82년생 김지영,드라마,"평범한 주부가 육아와 사회생활 속에서 겪는 여성의 삶을 현실적으로 그린 공감형 드라마.","공감되는 현실적인 이야기라는 평, 무겁지만 꼭 봐야 할 영화라는 반응이 많음."
헤어질 결심,로맨스 스릴러,"살인 사건을 수사하는 형사와 용의자 사이에 싹트는 미묘한 감정을 그린 세련된 멜로 스릴러.","몽환적인 연출과 절제된 감정선이 인상적이라는 평, 두 배우의 눈빛 연기가 압권이라는 반응."
남한산성,드라마 사극,"병자호란 당시 남한산성에 고립된 조선의 신하들이 겪는 갈등과 고뇌를 그린 시대극 드라마.","묵직한 대사와 시대상 고증이 뛰어나다는 평, 배우들의 명연기가 돋보인다는 반응이 많음."
목격자,스릴러 범죄,"살인 사건을 목격했지만 신고를 망설이는 한 남자의 심리를 그린 긴장감 넘치는 범죄 스릴러.","현실적인 공포와 긴장감이 뛰어나다는 평, 몰입도 높은 전개라는 반응이 많음."
7번방의 선물,드라마 코미디,"지적 장애를 가진 아빠가 억울한 누명을 쓰고 감옥에 가면서 벌어지는 감동적이고 유쾌한 이야기.","눈물샘을 자극하는 감동 스토리라는 평, 웃음과 슬픔이 공존한다는 반응이 많음."
설국열차,SF 액션,"기후 재앙 이후 멈추지 않는 열차 안에서 계급투쟁이 벌어지는 디스토피아 SF 액션 영화.","독창적인 세계관과 계급 풍자가 인상적이라는 평, 긴장감 넘치는 전개가 몰입도를 높인다는 반응."
건축학개론,로맨스 드라마,"첫사랑과 재회한 두 남녀가 과거와 현재를 오가며 감정을 되짚어가는 잔잔한 멜로 드라마.","첫사랑의 추억을 자극한다는 평, 국민 첫사랑이라는 수식어에 걸맞다는 반응이 많음."
군함도,드라마 액션,"일제강점기 강제 징용된 조선인들이 군함도를 탈출하기 위해 벌이는 사투를 그린 시대극 액션 드라마.","시대적 아픔을 사실적으로 그렸다는 평, 스케일이 큰 액션이 인상적이라는 반응."
스물,코미디 드라마,"성인이 된 세 친구가 겪는 좌충우돌 에피소드를 그린 청춘 코미디 드라마.","가볍고 유쾌하게 볼 수 있다는 평, 청춘의 고민을 유쾌하게 풀어냈다는 반응이 많음."
1987,드라마 시대극,"1987년 민주항쟁을 배경으로 진실을 밝히려는 이들의 이야기를 그린 실화 기반 시대극 드라마.","묵직한 감동과 시대적 울림이 크다는 평, 배우들의 열연이 인상 깊다는 반응이 많음."
